0,1,2,3
AEMD,6 DAYS AGO,Aethlon Medical Announces Third Quarter Financial Results and Provides Corporate Update,https://www.nasdaq.com/press-release/aethlon-medical-announces-third-quarter-financial-results-and-provides-corporate-0
AERI,"JAN 11, 2021",Aerie Pharmaceuticals Receives European Commission Approval for Roclanda® (netarsudil and latanoprost ophthalmic solution) 0.02%/0.005%,https://www.nasdaq.com/press-release/aerie-pharmaceuticals-receives-european-commission-approval-for-roclandar-netarsudil
AEZS,2 HOURS AGO,Aeterna Zentaris Announces $10.0 Million Bought Deal Offering of Common Shares,https://www.nasdaq.com/press-release/aeterna-zentaris-announces-%2410.0-million-bought-deal-offering-of-common-shares-2021
AFIB,"FEB 9, 2021","Acutus Medical, Inc. Appoints New Chief Financial Officer and New Board Member",https://www.nasdaq.com/press-release/acutus-medical-inc.-appoints-new-chief-financial-officer-and-new-board-member-2021-02
AFMD,"FEB 3, 2021",Affimed Announces Collaboration with Roche to Study AFM24 in Combination with PD-L1 Checkpoint Inhibitor in EGFR Expressing Solid Tumors,https://www.nasdaq.com/press-release/affimed-announces-collaboration-with-roche-to-study-afm24-in-combination-with-pd-l1
AGE,"DEC 22, 2020","AgeX Therapeutics, Inc. Announces That Its Annual Meeting of Stockholders Will Be Conducted Online Only",https://www.nasdaq.com/press-release/agex-therapeutics-inc.-announces-that-its-annual-meeting-of-stockholders-will-be
AGEN,"FEB 9, 2021",Andy Hurley Named Agenus Chief Commercial Officer,https://www.nasdaq.com/press-release/andy-hurley-named-agenus-chief-commercial-officer-2021-02-09
AGIO,5 DAYS AGO,"Agios to Webcast Conference Call of Fourth Quarter and Year End 2020 Financial Results on February 25, 2021",https://www.nasdaq.com/press-release/agios-to-webcast-conference-call-of-fourth-quarter-and-year-end-2020-financial
AGLE,"FEB 3, 2021",Aeglea BioTherapeutics Announces Transition of Chief Financial Officer,https://www.nasdaq.com/press-release/aeglea-biotherapeutics-announces-transition-of-chief-financial-officer-2021-02-03
AGRX,"JAN 4, 2021",Agile Therapeutics to Participate in Fireside Chat at the H.C. Wainwright BIOCONNECT 2021 Virtual Conference,https://www.nasdaq.com/press-release/agile-therapeutics-to-participate-in-fireside-chat-at-the-h.c.-wainwright-bioconnect
AGTC,9 HOURS AGO,"AGTC to Present at the OIS Gene Therapy Innovation Showcase on February 18, 2021",https://www.nasdaq.com/press-release/agtc-to-present-at-the-ois-gene-therapy-innovation-showcase-on-february-18-2021-2021
AHCO,4 DAYS AGO,AdaptHealth Corp. Schedules Fourth Quarter and Full Year 2020 Financial Results and Conference Call,https://www.nasdaq.com/press-release/adapthealth-corp.-schedules-fourth-quarter-and-full-year-2020-financial-results-and
AHPI,,,
AIH,"FEB 9, 2021",Chinese Aesthetic Treatment Industry White Paper 2020 Jointly Released By AIH and Forbes China,https://www.nasdaq.com/press-release/chinese-aesthetic-treatment-industry-white-paper-2020-jointly-released-by-aih-and
AIKI,3 HOURS AGO,AIkido Pharma Inc. Announces $10 Million Bought Deal Offering Of Common Stock,https://www.nasdaq.com/press-release/aikido-pharma-inc.-announces-%2410-million-bought-deal-offering-of-common-stock-2021-02
AIM,12 HOURS AGO,AIM ImmunoTech Announces Ethics Committee Approval to Commence Phase 1 Clinical Study of Ampligen as an Intranasal Therapy,https://www.nasdaq.com/press-release/aim-immunotech-announces-ethics-committee-approval-to-commence-phase-1-clinical-study
AKBA,"FEB 8, 2021",Akebia Therapeutics to Report Fourth Quarter and Full-Year 2020 Financial Results and Discuss Recent Business Highlights,https://www.nasdaq.com/press-release/akebia-therapeutics-to-report-fourth-quarter-and-full-year-2020-financial-results-and
AKER,"DEC 2, 2020",Akers’ Proposed Merger Partner MyMD Pharmaceuticals Announces Issuance of Key Patent,https://www.nasdaq.com/press-release/akers-proposed-merger-partner-mymd-pharmaceuticals-announces-issuance-of-key-patent
AKRO,"JAN 4, 2021",Akero Therapeutics to Present at the 39th Annual J.P. Morgan Healthcare Conference,https://www.nasdaq.com/press-release/akero-therapeutics-to-present-at-the-39th-annual-j.p.-morgan-healthcare-conference
AKTX,"FEB 1, 2021",Akari Therapeutics Adds Histamine Inhibitor Votucalis to Pipeline to treat Neuropathic Pain and Dermatological Disease,https://www.nasdaq.com/press-release/akari-therapeutics-adds-histamine-inhibitor-votucalis-to-pipeline-to-treat
AKU,"NOV 2, 2020",Akumin Inc. Announces Completion of Offering of Senior Secured Notes,https://www.nasdaq.com/press-release/akumin-inc.-announces-completion-of-offering-of-senior-secured-notes-2020-11-02
AKUS,"JAN 11, 2021",Akouos and Blueprint Genetics Announce the Resonate Program to Improve Access to Genetic Testing for Individuals with Auditory Neuropathy,https://www.nasdaq.com/press-release/akouos-and-blueprint-genetics-announce-the-resonate-program-to-improve-access-to
ALBO,5 DAYS AGO,Albireo Presents Odevixibat Commercialization Road to $1 Billion,https://www.nasdaq.com/press-release/albireo-presents-odevixibat-commercialization-road-to-%241-billion-2021-02-11
ALC,"JAN 20, 2021",Alcon Launches PRECISION1 for Astigmatism Contact Lenses in the U.S.,https://www.nasdaq.com/press-release/alcon-launches-precision1-for-astigmatism-contact-lenses-in-the-u.s.-2021-01-20
ALDX,"FEB 4, 2021",Aldeyra Therapeutics Announces Phase 3 TRANQUILITY Dry Eye Disease Trial Design,https://www.nasdaq.com/press-release/aldeyra-therapeutics-announces-phase-3-tranquility-dry-eye-disease-trial-design-2021
ALEC,"JAN 25, 2021",Alector Announces First Participant Dosed in Phase 2 Study Evaluating AL002 in Individuals with Early Alzheimer’s Disease,https://www.nasdaq.com/press-release/alector-announces-first-participant-dosed-in-phase-2-study-evaluating-al002-in
ALGN,"FEB 3, 2021",Align Technology Announces the iTero Element Plus Series Next Generation of Scanners and Imaging Systems,https://www.nasdaq.com/press-release/align-technology-announces-the-itero-element-plus-series-next-generation-of-scanners
ALGS,"FEB 3, 2021",Aligos Therapeutics Presents Data for its Chronic Hepatitis B Drug Candidates at the 30th Annual Conference of the Asian Pacific Association for the Study of the Liver,https://www.nasdaq.com/press-release/aligos-therapeutics-presents-data-for-its-chronic-hepatitis-b-drug-candidates-at-the
ALIM,1 DAY AGO,Alimera Sciences to Present at the Microcap Rodeo Winter Wonderland Conference,https://www.nasdaq.com/press-release/alimera-sciences-to-present-at-the-microcap-rodeo-winter-wonderland-conference-2021
ALKS,5 DAYS AGO,"Alkermes plc Reports Financial Results for the Fourth Quarter and Year Ended Dec. 31, 2020 and Provides Financial Expectations for 2021",https://www.nasdaq.com/press-release/alkermes-plc-reports-financial-results-for-the-fourth-quarter-and-year-ended-dec.-0
ALLK,"DEC 22, 2020",Allakos Appoints Natalie Holles to its Board of Directors,https://www.nasdaq.com/press-release/allakos-appoints-natalie-holles-to-its-board-of-directors-2020-12-22
ALLO,6 DAYS AGO,Notch Therapeutics Closes $85 Million Series A Financing to Develop Pipeline of Renewable Stem Cell-Derived Cancer Immunotherapies,https://www.nasdaq.com/press-release/notch-therapeutics-closes-%2485-million-series-a-financing-to-develop-pipeline-of
ALNA,"FEB 2, 2021","Allena Pharmaceuticals Appoints Richard D. Katz, M.D. as Chief Financial Officer",https://www.nasdaq.com/press-release/allena-pharmaceuticals-appoints-richard-d.-katz-m.d.-as-chief-financial-officer-2021
ALNY,5 DAYS AGO,Alnylam Pharmaceuticals Reports Fourth Quarter and Full Year 2020 Financial Results and Highlights Recent Period Activity,https://www.nasdaq.com/press-release/alnylam-pharmaceuticals-reports-fourth-quarter-and-full-year-2020-financial-results
ALPN,"JAN 6, 2021",Alpine Immune Sciences Announces Executive Leadership Addition and Promotion,https://www.nasdaq.com/press-release/alpine-immune-sciences-announces-executive-leadership-addition-and-promotion-2021-01
ALRN,"JAN 11, 2021","Aileron Therapeutics Announces Completion of $35.9 Million Registered Direct Offering with Participation by New Fundamental Healthcare Investors Acorn Bioventures, BVF Partners, L.P. and Maven Investment Partners",https://www.nasdaq.com/press-release/aileron-therapeutics-announces-completion-of-%2435.9-million-registered-direct-offering
ALT,"DEC 30, 2020","Altimmune Begins Multinational Phase 2 Clinical Trial of HepTcellTM, a Novel Immunotherapeutic for the Treatment of Chronic Hepatitis B",https://www.nasdaq.com/press-release/altimmune-begins-multinational-phase-2-clinical-trial-of-heptcelltm-a-novel
ALVR,5 DAYS AGO,AlloVir Research Presented at the 2021 Transplantation & Cellular Therapy Meeting Digital Experience,https://www.nasdaq.com/press-release/allovir-research-presented-at-the-2021-transplantation-cellular-therapy-meeting
ALXN,"FEB 4, 2021",Alexion Reports Fourth Quarter and Full Year 2020 Results,https://www.nasdaq.com/press-release/alexion-reports-fourth-quarter-and-full-year-2020-results-2021-02-04
ALXO,"JAN 11, 2021",ALX Oncology Provides Corporate Update and Highlights Key Milestones in 2021,https://www.nasdaq.com/press-release/alx-oncology-provides-corporate-update-and-highlights-key-milestones-in-2021-2021-01
AMED,"FEB 9, 2021",Amedisys Announces Fourth Quarter and Year End Earnings Release and Conference Call Date,https://www.nasdaq.com/press-release/amedisys-announces-fourth-quarter-and-year-end-earnings-release-and-conference-call-0
AMGN,5 HOURS AGO,FDA Grants Sotorasib Priority Review Designation For The Treatment Of Patients With KRAS G12C-Mutated Locally Advanced Or Metastatic Non-Small Cell Lung Cancer,https://www.nasdaq.com/press-release/fda-grants-sotorasib-priority-review-designation-for-the-treatment-of-patients-with
AMPE,12 HOURS AGO,"Ampio Pharmaceuticals, Inc. to Present at Upcoming Investor Conference",https://www.nasdaq.com/press-release/ampio-pharmaceuticals-inc.-to-present-at-upcoming-investor-conference-2021-02-16
AMPH,"DEC 29, 2020","Amphastar Announces Approval for Glucagon for Injection Kit, 1mg",https://www.nasdaq.com/press-release/amphastar-announces-approval-for-glucagon-for-injection-kit-1mg-2020-12-29
AMRN,"FEB 9, 2021",Amarin Provides Update on VASCEPA® (Icosapent Ethyl) Regulatory Review Processes in Mainland China and Hong Kong,https://www.nasdaq.com/press-release/amarin-provides-update-on-vascepar-icosapent-ethyl-regulatory-review-processes-in
AMRX,"FEB 4, 2021","Amneal to Report Fourth Quarter & Full Year 2020 Results on February 26, 2021",https://www.nasdaq.com/press-release/amneal-to-report-fourth-quarter-full-year-2020-results-on-february-26-2021-2021-02-04
AMS,"NOV 12, 2020",American Shared Hospital Services Reports Third Quarter 2020 Financial Results,https://www.nasdaq.com/press-release/american-shared-hospital-services-reports-third-quarter-2020-financial-results-2020
AMTI,"JAN 19, 2021",Applied Molecular Transport Appoints Douglas Rich as Chief Technical Officer,https://www.nasdaq.com/press-release/applied-molecular-transport-appoints-douglas-rich-as-chief-technical-officer-2021-01
AMYT,"FEB 4, 2021",Amryt and Medison Pharma Sign Multi-Regional Distribution Agreements in Canada and Israel,https://www.nasdaq.com/press-release/amryt-and-medison-pharma-sign-multi-regional-distribution-agreements-in-canada-and
ANAB,"JAN 7, 2021",AnaptysBio to Present at the 39th Annual J.P. Morgan Healthcare Conference,https://www.nasdaq.com/press-release/anaptysbio-to-present-at-the-39th-annual-j.p.-morgan-healthcare-conference-2021-01-07
ANCN,"DEC 15, 2020",Anchiano Therapeutics and Chemomab Announce Entry Into Definitive Merger Agreement,https://www.nasdaq.com/press-release/anchiano-therapeutics-and-chemomab-announce-entry-into-definitive-merger-agreement
ANGN,"FEB 9, 2021","Angion Biomedica Corp. Announces Closing of $117 Million Initial Public Offering and Concurrent Private Placement, Including Full Exercise of Underwriters’ Option to Purchase Additional Shares",https://www.nasdaq.com/press-release/angion-biomedica-corp.-announces-closing-of-%24117-million-initial-public-offering-and
ANGO,"FEB 1, 2021","AngioDynamics Appoints Richard C. Rosenzweig Senior Vice President, General Counsel and Secretary, Promotes Juan Carlos Serna to Senior Vice President, Scientific & Clinical Affairs",https://www.nasdaq.com/press-release/angiodynamics-appoints-richard-c.-rosenzweig-senior-vice-president-general-counsel
ANIK,"FEB 9, 2021","Anika to Issue Fourth Quarter and Year-End 2020 Financial Results on Thursday, March 4, 2021",https://www.nasdaq.com/press-release/anika-to-issue-fourth-quarter-and-year-end-2020-financial-results-on-thursday-march-4
ANIP,4 HOURS AGO,"ANI Pharmaceuticals to Discuss Fourth Quarter and Full Year 2020 Financial Results on March 9, 2021",https://www.nasdaq.com/press-release/ani-pharmaceuticals-to-discuss-fourth-quarter-and-full-year-2020-financial-results-on
ANIX,12 HOURS AGO,Anixa Biosciences Begins Animal Testing of Covid-19 Therapeutic Candidates,https://www.nasdaq.com/press-release/anixa-biosciences-begins-animal-testing-of-covid-19-therapeutic-candidates-2021-02-16
ANNX,"FEB 8, 2021","Annexon Welcomes William H. Carson, M.D. to the Board of Directors",https://www.nasdaq.com/press-release/annexon-welcomes-william-h.-carson-m.d.-to-the-board-of-directors-2021-02-08
ANPC,"FEB 8, 2021",China’s NMPA Approved Starting of Registration Testing of AnPac Bio Class III Medical Device (For Lung Cancer Auxiliary Diagnosis Utility),https://www.nasdaq.com/press-release/chinas-nmpa-approved-starting-of-registration-testing-of-anpac-bio-class-iii-medical
ANTM,"FEB 8, 2021","Anthem to Host Virtual Investor Day Conference on March 3, 2021",https://www.nasdaq.com/press-release/anthem-to-host-virtual-investor-day-conference-on-march-3-2021-2021-02-08
ANVS,14 HOURS AGO,Annovis Bio to Present at the BIO CEO & Investor Digital Conference,https://www.nasdaq.com/press-release/annovis-bio-to-present-at-the-bio-ceo-investor-digital-conference-2021-02-16
APEN,"FEB 8, 2021",Apollo Endosurgery Announces CEO Transition,https://www.nasdaq.com/press-release/apollo-endosurgery-announces-ceo-transition-2021-02-08
APLS,"FEB 5, 2021",Apellis Pharmaceuticals Announces Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),https://www.nasdaq.com/press-release/apellis-pharmaceuticals-announces-inducement-grants-under-nasdaq-listing-rule-18
APLT,5 DAYS AGO,"Applied Therapeutics, Inc. Announces Pricing of Public Offering of 3,000,000 Shares of Common Stock",https://www.nasdaq.com/press-release/applied-therapeutics-inc.-announces-pricing-of-public-offering-of-3000000-shares-of
APM,"JAN 20, 2021","Aptorum Group Receives Clearance from Health Canada to Initiate a Phase 1 Clinical Trial for ALS-4, a Small Molecule Drug for Infections Caused by Staphylococcus aureus including Methicillin-resistant Staphylococcus aureus (MRSA)",https://www.nasdaq.com/press-release/aptorum-group-receives-clearance-from-health-canada-to-initiate-a-phase-1-clinical
APOP,"NOV 20, 2020",Cellect Biotechnology Reports Third Quarter Financial and Operating Results; Recent Developments Position Company to Accelerate Progress in 2021,https://www.nasdaq.com/press-release/cellect-biotechnology-reports-third-quarter-financial-and-operating-results-recent
APOPW,,,
APRE,"JAN 8, 2021","Aprea Therapeutics to Present at the 39th Annual J.P. Morgan Healthcare Conference on Tuesday, January 12, 2021",https://www.nasdaq.com/press-release/aprea-therapeutics-to-present-at-the-39th-annual-j.p.-morgan-healthcare-conference-on
APT,"NOV 5, 2020","Alpha Pro Tech, Ltd. Announces Financial Results for the Third Quarter of 2020",https://www.nasdaq.com/press-release/alpha-pro-tech-ltd.-announces-financial-results-for-the-third-quarter-of-2020-2020-11
APTO,"DEC 6, 2020",Aptose Presents Highlights from ASH and Corporate Update Event,https://www.nasdaq.com/press-release/aptose-presents-highlights-from-ash-and-corporate-update-event-2020-12-06
APTX,5 DAYS AGO,Aptinyx to Participate at 10th Annual SVB Leerink Global Healthcare Conference,https://www.nasdaq.com/press-release/aptinyx-to-participate-at-10th-annual-svb-leerink-global-healthcare-conference-2021
APVO,"FEB 9, 2021",Aptevo Confirms Receipt of Nominations and Proposal Notice,https://www.nasdaq.com/press-release/aptevo-confirms-receipt-of-nominations-and-proposal-notice-2021-02-09
APYX,"FEB 1, 2021","Apyx Medical Corporation to Release Fourth Quarter and Fiscal Year 2020 Financial Results on March 31, 2021",https://www.nasdaq.com/press-release/apyx-medical-corporation-to-release-fourth-quarter-and-fiscal-year-2020-financial
AQST,"FEB 9, 2021","Aquestive Therapeutics Strengthens Board of Directors with Appointments of Julie Krop, M.D., and Marco Taglietti, M.D., and Announces Resignation of Douglas K. Bratton from Board of Directors",https://www.nasdaq.com/press-release/aquestive-therapeutics-strengthens-board-of-directors-with-appointments-of-julie-krop
ARAV,13 HOURS AGO,"Aravive Announces $21.0 Million Registered Direct Offering with Eshelman Ventures, LLC Priced At-The-Market",https://www.nasdaq.com/press-release/aravive-announces-%2421.0-million-registered-direct-offering-with-eshelman-ventures-llc
ARAY,"FEB 5, 2021","Accuray to Participate in BTIG's Virtual MedTech, Digital Health, Life Science and Diagnostic Tools Conference",https://www.nasdaq.com/press-release/accuray-to-participate-in-btigs-virtual-medtech-digital-health-life-science-and
ARCT,5 DAYS AGO,Arcturus Therapeutics to Present at Upcoming Investor Conferences,https://www.nasdaq.com/press-release/arcturus-therapeutics-to-present-at-upcoming-investor-conferences-2021-02-11
ARDS,"NOV 24, 2020","Aridis Pharmaceuticals to Host Fireside Chat with Analysts to Discuss 2021 Outlook for its Lead Programs and Novel mAb Discovery Platform on December 4th, 2020",https://www.nasdaq.com/press-release/aridis-pharmaceuticals-to-host-fireside-chat-with-analysts-to-discuss-2021-outlook
ARDX,"NOV 23, 2020",Ardelyx to Present at the Piper Sandler 32nd Annual Virtual Healthcare Conference,https://www.nasdaq.com/press-release/ardelyx-to-present-at-the-piper-sandler-32nd-annual-virtual-healthcare-conference
ARGX,"FEB 5, 2021",argenx announces closing of global offering,https://www.nasdaq.com/press-release/argenx-announces-closing-of-global-offering-2021-02-05
ARMP,"JAN 27, 2021",Armata Pharmaceuticals Announces $20 Million Investment to Support Advancement of the Company's Bacteriophage Development Programs,https://www.nasdaq.com/press-release/armata-pharmaceuticals-announces-%2420-million-investment-to-support-advancement-of-the
ARNA,5 HOURS AGO,Arena Pharmaceuticals to Release Fourth Quarter & Full-Year 2020 Financial Results and Provide Corporate Update on February 23,https://www.nasdaq.com/press-release/arena-pharmaceuticals-to-release-fourth-quarter-full-year-2020-financial-results-and
ARPO,"JAN 5, 2021",Aerpio Announces Strategic Review after Topline Results from Razuprotafib Glaucoma Phase 2 Trial,https://www.nasdaq.com/press-release/aerpio-announces-strategic-review-after-topline-results-from-razuprotafib-glaucoma
ARQT,,,
ARTL,12 HOURS AGO,"Artelo Biosciences Announces Appointment of Andrew Yates, Ph.D. as Senior Vice President and Chief Scientific Officer",https://www.nasdaq.com/press-release/artelo-biosciences-announces-appointment-of-andrew-yates-ph.d.-as-senior-vice
ARTLW,,,
ARVN,"FEB 8, 2021",Arvinas to Present at the Guggenheim Healthcare Talks: 2021 Oncology Day,https://www.nasdaq.com/press-release/arvinas-to-present-at-the-guggenheim-healthcare-talks%3A-2021-oncology-day-2021-02-08
ARWR,"FEB 4, 2021",Arrowhead Pharmaceuticals Reports Fiscal 2021 First Quarter Results,https://www.nasdaq.com/press-release/arrowhead-pharmaceuticals-reports-fiscal-2021-first-quarter-results-2021-02-04
ASLN,"JAN 26, 2021",New Research Published in Toxicology in Vitro Provides Insight Into the Hepatotoxicity of DHODH Inhibitors Suggesting ASLAN003 Has the Potential to Be Best-In-Class,https://www.nasdaq.com/press-release/new-research-published-in-toxicology-in-vitro-provides-insight-into-the
ASMB,"FEB 5, 2021",Assembly Biosciences Reports Inducement Grants Under Nasdaq Listing Rule 5635(c)(4),https://www.nasdaq.com/press-release/assembly-biosciences-reports-inducement-grants-under-nasdaq-listing-rule-5635c4-2021
ASND,"JAN 10, 2021",Ascendis Pharma A/S Provides Vision 3x3 Update at 39th Annual J.P. Morgan Healthcare Conference,https://www.nasdaq.com/press-release/ascendis-pharma-a-s-provides-vision-3x3-update-at-39th-annual-j.p.-morgan-healthcare
ASRT,4 DAYS AGO,"Assertio Holdings, Inc. Announces Closing of Registered Direct Offering of $34.3 Million",https://www.nasdaq.com/press-release/assertio-holdings-inc.-announces-closing-of-registered-direct-offering-of-%2434.3
ATEC,12 HOURS AGO,ATEC to Participate in Upcoming Investor Conferences,https://www.nasdaq.com/press-release/atec-to-participate-in-upcoming-investor-conferences-2021-02-16
ATHA,6 DAYS AGO,Athira Pharma Announces Exercise of Underwriters’ Option to Purchase Additional Shares,https://www.nasdaq.com/press-release/athira-pharma-announces-exercise-of-underwriters-option-to-purchase-additional-shares
ATHE,"FEB 9, 2021",Alterity Therapeutics announces funding from Michael J. Fox Foundation for ATH434 dose optimization for Parkinson's disease clinical trials,https://www.nasdaq.com/press-release/alterity-therapeutics-announces-funding-from-michael-j.-fox-foundation-for-ath434
