tick,link,time
AERI,https://www.nasdaq.com/press-release/aerie-pharmaceuticals-announces-appointment-of-frank-estrada-ed.d.-as-director,"JUN 7, 2021 8:05AM EDT"
AEZS,https://www.nasdaq.com/press-release/aeterna-zentaris-engages-dr.-michael-levy-to-support-development-of-autoimmune-and,"JUL 12, 2021 4:30PM EDT"
AFIB,https://www.nasdaq.com/press-release/acutus-medical-inc.-announces-proposed-public-offering-of-common-stock-2021-07-12,"JUL 1, 2021 6:30AM EDT"
AFMD,https://www.nasdaq.com/press-release/affimed-reports-first-quarter-2021-financial-results-and-highlights-operational,"MAY 17, 2021 4:05PM EDT"
AGE,https://www.nasdaq.com/press-release/agex-therapeutics-reports-first-quarter-2021-financial-results-and-provides-business,"JUL 7, 2021 4:05PM EDT"
AGEN,https://www.nasdaq.com/press-release/agenus-to-participate-in-resistance-focused-oncology-panel-at-the-william-blair,"JUN 28, 2021 7:00AM EDT"
AGIO,https://www.nasdaq.com/press-release/agios-submits-marketing-authorisation-application-to-european-medicines-agency-for,"JUL 8, 2021 8:30AM EDT"
AGLE,https://www.nasdaq.com/press-release/aeglea-biotherapeutics-appoints-jonathan-d.-alspaugh-as-chief-financial-officer-2021,"JUL 8, 2021 11:20AM EDT"
AGRX,https://www.nasdaq.com/press-release/50-companies-to-present-at-the-access-to-giving-virtual-investor-conference-on-july-0,"JUL 8, 2021 7:00AM EDT"
AGTC,https://www.nasdaq.com/press-release/agtc-to-host-virtual-rd-day-on-july-22-2021-2021-07-08,"JUL 13, 2021 8:15AM EDT"
AHCO,https://www.nasdaq.com/press-release/adapthealth-corp.-schedules-second-quarter-2021-financial-results-and-conference-call,"JUN 24, 2021 6:00AM EDT"
AHPI,,"JUL 13, 2021 10:00AM EDT"
AIH,https://www.nasdaq.com/press-release/aesthetic-medical-international-holdings-group-limited-reports-first-quarter-2021,"JUL 9, 2021 7:25AM EDT"
AIKI,https://www.nasdaq.com/press-release/aikido-pharma-to-attend-the-alzheimers-association-international-conference-2021-07,"JUL 1, 2021 4:05PM EDT"
AIM,https://www.nasdaq.com/press-release/aim-immunotech-announces-phase-2a-human-challenge-trial-to-test-its-drug-ampligen-as,"JUL 14, 2021 8:00AM EDT"
AKBA,https://www.nasdaq.com/press-release/akebia-therapeutics-reports-inducement-grants-under-nasdaq-listing-rule-5635c4-2021-5,"JUL 7, 2021 9:15AM EDT"
AKER,,"JUN 25, 2021 7:17AM EDT"
AKRO,https://www.nasdaq.com/press-release/akero-therapeutics-appoints-judy-chou-ph.d.-to-its-board-of-directors-2021-07-14,"MAY 13, 2021 7:00AM EDT"
AKTX,https://www.nasdaq.com/press-release/akari-therapeutics-announces-private-placement-2021-07-07,"JUL 8, 2021 8:30AM EDT"
AKU,https://www.nasdaq.com/press-release/alliance-healthcare-services-announces-acquisition-by-and-integration-with-akumin,"JUN 28, 2021 12:00PM EDT"
AKUS,https://www.nasdaq.com/press-release/akouos-reports-first-quarter-2021-financial-results-and-provides-business-updates,"JUL 1, 2021 8:00AM EDT"
ALBO,https://www.nasdaq.com/press-release/albireo-to-present-at-the-william-blair-biotech-focus-conference-2021-2021-07-08,"JUL 2, 2021 7:38AM EDT"
ALC,https://www.nasdaq.com/press-release/alcon-announces-executive-committee-changes-2021-06-28,"JUL 1, 2021 8:30AM EDT"
ALDX,https://www.nasdaq.com/press-release/aldeyra-therapeutics-joins-the-russell-2000r-and-russell-3000r-indexes-2021-07-01,"JUN 30, 2021 10:08PM EDT"
ALEC,https://www.nasdaq.com/press-release/alector-and-gsk-announce-global-collaboration-in-immuno-neurology-for-two-clinical,"MAY 27, 2021 7:15PM EDT"
ALGN,https://www.nasdaq.com/press-release/align-technology-to-announce-second-quarter-2021-results-on-july-28-2021-2021-07-01,"JUL 13, 2021 12:16PM EDT"
ALGS,https://www.nasdaq.com/press-release/aligos-therapeutics-announces-pricing-of-%2483.6-million-public-offering-of-common,"JUN 7, 2021 8:00AM EDT"
ALIM,https://www.nasdaq.com/press-release/35-of-the-best-ideas-companies-to-present-at-the-summer-solstice-best-ideas-from-the,"JUL 12, 2021 8:30AM EDT"
ALKS,https://www.nasdaq.com/press-release/alkermes-presented-new-data-analysis-on-healthcare-resource-use-among-veterans-with-0,"JUL 13, 2021 11:43PM EDT"
ALLK,https://www.nasdaq.com/press-release/allakos-completes-patient-enrollment-in-phase-3-eosinophilic-gastritis-and-or,"JUN 30, 2021 7:00AM EDT"
ALLO,https://www.nasdaq.com/press-release/allogene-therapeutics-announces-participation-in-two-upcoming-virtual-investor-0,"JUN 30, 2021 8:00AM EDT"
ALNA,https://www.nasdaq.com/press-release/allena-pharmaceuticals-announces-%2428-million-registered-direct-offering-priced-at-the,"JUL 8, 2021 8:15AM EDT"
ALNY,https://www.nasdaq.com/press-release/alnylam-initiates-kardia-1-phase-2-study-of-zilebesiran-aln-agt-in-patients-with-mild,"JUN 29, 2021 4:01PM EDT"
ALPN,https://www.nasdaq.com/press-release/alpine-immune-sciences-to-collaborate-with-merck-on-immuno-oncology-study-to-evaluate,"MAY 6, 2021 7:00AM EDT"
ALRN,https://www.nasdaq.com/press-release/aileron-therapeutics-to-participate-in-fireside-chat-at-the-william-blair-biotech,"JUL 14, 2021 8:51AM EDT"
ALT,https://www.nasdaq.com/press-release/altimmune-announces-update-on-adcovidtm-phase-1-clinical-trial-2021-06-29,"JUL 3, 2021 7:15AM EDT"
ALVR,https://www.nasdaq.com/press-release/allovir-reports-first-quarter-2021-financial-results-2021-05-06,"JUL 13, 2021 8:00AM EDT"
ALXN,https://www.nasdaq.com/press-release/accelerating-results-for-patients-2021-07-14,"JUL 14, 2021 8:00AM EDT"
ALXO,https://www.nasdaq.com/press-release/alx-oncology-announces-new-data-from-aspen-01-the-phase-1b-study-of-alx148-showing-0,"JUL 14, 2021 9:15AM EDT"
AMED,https://www.nasdaq.com/press-release/amedisys-to-open-westchester-county-home-health-care-center-2021-07-13,"JUN 15, 2021 4:05PM EDT"
AMGN,https://www.nasdaq.com/press-release/amgen-and-the-international-federation-of-psoriasis-associations-launch-uplift,"JUN 2, 2021 4:30PM EDT"
AMPE,https://www.nasdaq.com/press-release/ampio-pharmaceuticals-inc.-to-report-fiscal-2021-second-quarter-financial-results-and,"JUN 17, 2021 8:00AM EDT"
AMPH,https://www.nasdaq.com/press-release/amphastar-pharmaceuticals-to-present-at-the-raymond-james-human-health-innovation,"MAY 13, 2021 8:00AM EDT"
AMRN,https://www.nasdaq.com/press-release/further-insights-into-mechanism-of-action-of-icosapent-ethyl-and-its-unique-form-of,"JUL 9, 2021 8:00AM EDT"
AMRX,https://www.nasdaq.com/press-release/amneal-announces-u.s.-fda-filing-acceptance-of-biologics-license-application-bla-for,"JUL 12, 2021 7:00AM EDT"
AMS,https://www.nasdaq.com/press-release/american-shared-hospital-services-reports-first-quarter-2021-financial-results-2021,"MAY 27, 2021 4:15PM EDT"
AMTI,https://www.nasdaq.com/press-release/applied-molecular-transport-presents-additional-positive-data-from-oral-amt-101-phase,"JUN 29, 2021 4:05PM EDT"
AMYT,https://www.nasdaq.com/press-release/amryt-to-report-q2-2021-results-and-host-conference-call-webcast-on-august-6-2021-07,"JUL 13, 2021 7:00AM EDT"
ANAB,https://www.nasdaq.com/press-release/anaptysbio-to-present-at-the-2021-jefferies-virtual-healthcare-conference-2021-05-27,"JUL 1, 2021 9:00AM EDT"
ANCN,,"JUL 6, 2021 6:50AM EDT"
ANGN,https://www.nasdaq.com/press-release/angion-announces-results-from-the-phase-2-ali-201-study-in-patients-with-covid-19,"MAY 26, 2021 8:30AM EDT"
ANGO,https://www.nasdaq.com/press-release/angiodynamics-reports-fiscal-2021-fourth-quarter-and-full-year-financial-results-2021,"JUN 16, 2021 7:00AM EDT"
ANIK,https://www.nasdaq.com/press-release/first-anika-wristmotionr-total-wrist-arthroplasty-surgery-performed-2021-07-01,"JUN 18, 2021 6:30AM EDT"
ANIP,https://www.nasdaq.com/press-release/ani-pharmaceuticals-announces-refiling-of-cortrophin-snda-with-fda-2021-07-06,"JUL 14, 2021 9:27AM EDT"
ANIX,https://www.nasdaq.com/press-release/anixa-biosciences-announces-support-from-the-national-cancer-institute-for-ovarian,"JUN 10, 2021 8:30AM EDT"
ANNX,https://www.nasdaq.com/press-release/annexon-to-present-at-the-raymond-james-human-health-innovation-conference-2021-06-16,"JUN 14, 2021 7:30AM EDT"
ANPC,https://www.nasdaq.com/press-release/anpac-bios-first-disease-treatment-patent-granted-and-its-cancer-treatment-project,"JUL 7, 2021 10:06PM EDT"
ANTM,https://www.nasdaq.com/press-release/hispanic-latino-communities-lead-telehealth-visits-for-mental-health-services-during,"JUN 28, 2021 7:00AM EDT"
ANVS,https://www.nasdaq.com/press-release/annovis-bio-to-present-at-2021-bio-digital-2021-06-10,"JUL 12, 2021 8:00AM EDT"
APEN,https://www.nasdaq.com/press-release/merit-study-investigators-announce-successful-achievement-of-the-studys-primary,"JUN 16, 2021 6:58PM EDT"
APLS,https://www.nasdaq.com/press-release/apellis-announces-agreements-to-exchange-approximately-%24198.6-million-in-principal,"JUN 16, 2021 8:00AM EDT"
APLT,https://www.nasdaq.com/press-release/applied-therapeutics-added-to-russell-microcapr-index-2021-06-28,"MAY 24, 2021 9:00AM EDT"
APM,https://www.nasdaq.com/press-release/aptorum-group-announces-further-positive-interim-results-of-the-phase-1-clinical,"JUN 11, 2021 7:55AM EDT"
APOP,https://www.nasdaq.com/press-release/cellect-biotechnology-files-registration-statement-in-connection-with-proposed,"JUL 12, 2021 7:57AM EDT"
APOPW,,"JUN 30, 2021 8:05AM EDT"
APRE,https://www.nasdaq.com/press-release/aprea-therapeutics-announces-phase-1-2-trial-of-eprenetapopt-venetoclax-azacitidine,"JUL 12, 2021 4:05PM EDT"
APT,https://www.nasdaq.com/press-release/alpha-pro-tech-ltd.-announces-2021-annual-meeting-of-shareholders-to-be-held-in,"JUN 24, 2021 8:00AM EDT"
APTO,https://www.nasdaq.com/press-release/aptose-presents-highlights-from-eha-during-corporate-update-event-2021-06-11,"JUL 7, 2021 7:00AM EDT"
APTX,https://www.nasdaq.com/press-release/aptinyx-to-participate-in-william-blair-biotech-focus-conference-2021-2021-07-12,"JUN 24, 2021 7:30AM EDT"
APVO,https://www.nasdaq.com/press-release/aptevo-therapeutics-scientists-to-present-at-virtual-cell-engager-summit-2021-06-30,"JUL 6, 2021 9:00AM EDT"
APYX,https://www.nasdaq.com/press-release/apyx-medical-corporation-to-release-second-quarter-of-fiscal-year-2021-financial,"JUL 12, 2021 4:05PM EDT"
AQST,https://www.nasdaq.com/press-release/aquestive-therapeutics-resubmits-new-drug-application-for-libervanttm-diazepam-buccal,"JUN 7, 2021 8:00AM EDT"
ARAV,https://www.nasdaq.com/press-release/aravive-to-participate-in-fireside-chat-at-2021-william-blair-biotech-focus,"JUL 14, 2021 1:00AM EDT"
ARAY,https://www.nasdaq.com/press-release/beloved-family-pets-lung-cancer-is-treated-with-targeted-radiotherapy-using-the,"JUL 7, 2021 7:30AM EDT"
ARCT,https://www.nasdaq.com/press-release/arcturus-therapeutics-to-present-at-upcoming-investor-and-scientific-conferences-2,"JUN 18, 2021 4:05PM EDT"
ARDS,https://www.nasdaq.com/press-release/aridis-pharmaceuticals-covid-mab-ar-712-neutralizes-sars-cov-2-delta-variant-2021-07,"JUN 4, 2021 9:15AM EDT"
ARDX,https://www.nasdaq.com/press-release/ardelyx-announces-presentations-at-era-edta-virtual-congress-2021-2021-06-07,"JUL 12, 2021 8:30AM EDT"
ARGX,https://www.nasdaq.com/press-release/argenx-to-host-virtual-rd-day-on-july-20-2021-2021-07-14,"JUN 7, 2021 5:19PM EDT"
ARMP,https://www.nasdaq.com/press-release/armata-pharmaceuticals-to-present-at-the-ladenburg-thalmann-2021-healthcare,"JUL 14, 2021 7:30AM EDT"
ARNA,https://www.nasdaq.com/press-release/arena-pharmaceuticals-reports-inducement-grants-under-nasdaq-listing-rule-5635c4-14,"JUL 13, 2021 7:00AM EDT"
ARPO,https://www.nasdaq.com/press-release/aerpio-provides-second-update-on-aadi-bioscience-presentation-at-the-asco-2021,"JUL 2, 2021 5:00PM EDT"
ARQT,,"JUL 6, 2021 8:00AM EDT"
ARTL,https://www.nasdaq.com/press-release/artelo-biosciences-reports-third-quarter-fiscal-2021-financial-results-and-provides,"JUN 4, 2021 9:27AM EDT"
ARTLW,,"JUL 12, 2021 9:00AM EDT"
ARVN,https://www.nasdaq.com/press-release/arvinas-participates-in-groundbreaking-ceremony-for-new-space-within-downtown,"JUL 6, 2021 7:00AM EDT"
ARWR,https://www.nasdaq.com/press-release/arrowhead-pharmaceuticals-to-webcast-fiscal-2021-third-quarter-results-2021-07-14,"JUL 13, 2021 10:30AM EDT"
ASLN,https://www.nasdaq.com/press-release/aslan-pharmaceuticals-announces-loan-facility-providing-up-to-%2445-million-from-k2,"JUL 12, 2021 9:51AM EDT"
ASMB,https://www.nasdaq.com/press-release/assembly-biosciences-reports-inducement-grants-under-nasdaq-listing-rule-5635c4-8,"JUN 28, 2021 8:30AM EDT"
ASND,https://www.nasdaq.com/press-release/ascendis-pharma-a-s-announces-target-enrollment-achieved-in-the-phase-3-pathway-trial,"JUL 6, 2021 7:00AM EDT"
ASRT,https://www.nasdaq.com/press-release/assertio-holdings-inc.-regains-compliance-with-nasdaq-minimum-bid-price-requirement,"JUL 7, 2021 9:30AM EDT"
ATEC,https://www.nasdaq.com/press-release/atec-announces-select-preliminary-second-quarter-2021-financial-results-2021-07-12,"JUL 2, 2021 4:01PM EDT"
ATHA,https://www.nasdaq.com/press-release/athira-pharma-announces-initiation-of-open-label-extension-study-for-lift-ad-and-act,"JUL 7, 2021 8:00AM EDT"
ATHE,,"MAY 21, 2021 2:51PM EDT"
ATHX,https://www.nasdaq.com/press-release/athersys-to-host-second-quarter-financial-results-call-2021-07-13,"JUL 7, 2021 8:30AM EDT"
ATNF,https://www.nasdaq.com/press-release/180-life-sciences-regains-nasdaq-compliance-for-listing-rules-5605b1-and-5605c2-2021,"JUN 14, 2021 7:00AM EDT"
ATNFW,,"JUN 30, 2021 7:05AM EDT"
ATNM,https://www.nasdaq.com/press-release/actinium-pharmaceuticals-announces-inclusion-in-russell-microcapr-index-2021-06-28,"JUL 8, 2021 7:00AM EDT"
ATNX,https://www.nasdaq.com/press-release/athenex-provides-update-from-fda-type-a-meeting-regarding-oral-paclitaxel-plus,"JUL 7, 2021 8:00AM EDT"
ATOS,https://www.nasdaq.com/press-release/atossa-therapeutics-receives-regulatory-approval-to-open-clinical-study-of-at-h201-in,"JUL 8, 2021 4:05PM EDT"
ATRA,https://www.nasdaq.com/press-release/atara-biotherapeutics-reports-inducement-grants-under-nasdaq-listing-rule-5635c4-6,"JUL 6, 2021 8:30AM EDT"
ATRC,https://www.nasdaq.com/press-release/atricure-to-announce-second-quarter-2021-financial-results-2021-07-07,"JUL 12, 2021 7:00AM EDT"
ATRI,https://www.nasdaq.com/press-release/atrion-corporation-declares-quarterly-cash-dividend-2021-05-21,"JUL 12, 2021 7:15AM EDT"
ATRS,https://www.nasdaq.com/press-release/antares-pharma-to-present-at-the-ladenburg-thalmann-annual-healthcare-conference-2021,"JUL 8, 2021 7:00AM EDT"
ATXI,https://www.nasdaq.com/press-release/avenue-therapeutics-receives-complete-response-letter-from-the-fda-for-iv-tramadol-0,"JUN 28, 2021 7:00AM EDT"
AUPH,https://www.nasdaq.com/press-release/aurinia-awards-%24250000-in-grants-to-support-patient-navigation-programs-2021-06-30,"JUL 8, 2021 8:00AM EDT"
AUTL,https://www.nasdaq.com/press-release/autolus-therapeutics-to-report-second-quarter-2021-financial-results-on-august-5-2021,"JUL 14, 2021 7:00AM EDT"
AVDL,https://www.nasdaq.com/press-release/avadel-pharmaceuticals-to-present-at-the-ladenburg-thalmann-annual-healthcare,"JUN 30, 2021 7:28AM EDT"
AVEO,https://www.nasdaq.com/press-release/aveo-oncology-to-host-key-opinion-leader-webinar-on-fotivdar-tivozanib-for-relapsed,"JUL 14, 2021 8:00AM EDT"
AVGR,https://www.nasdaq.com/press-release/avinger-announces-510k-filing-for-new-pantheris-in-stent-restenosis-indication-2021,"JUN 15, 2021 7:00AM EDT"
AVIR,https://www.nasdaq.com/press-release/atea-pharmaceuticals-to-present-at-william-blair-biotech-focus-conference-2021-07-12,"JUL 6, 2021 9:00AM EDT"
AVNS,https://www.nasdaq.com/press-release/avanos-medical-inc.-appoints-moji-james-as-senior-vice-president-general-counsel-2021,"JUN 28, 2021 8:50AM EDT"
AVRO,https://www.nasdaq.com/press-release/avrobio-announces-inducement-grants-under-nasdaq-listing-rule-5635c4-2021-07-08,"JUL 13, 2021 2:00AM EDT"
AVXL,https://www.nasdaq.com/press-release/anavex-life-sciences-announces-anavexr2-73-blarcamesine-improved-both-primary,"JUN 8, 2021 7:00AM EDT"
AWH,https://www.nasdaq.com/press-release/aspira-womens-health-inc.-announces-coverage-for-ova1r-in-the-aim-specialty-health,"JUN 7, 2021 8:00AM EDT"
AXGN,https://www.nasdaq.com/press-release/axogen-inc.-to-report-second-quarter-financial-results-and-host-conference-call-on,"JUL 12, 2021 6:30PM EDT"
AXLA,https://www.nasdaq.com/press-release/axcella-announces-initiation-of-emmpowersm-phase-2-clinical-trial-of-axa1665-2021-06,"JUL 6, 2021 8:00AM EDT"
AXNX,https://www.nasdaq.com/press-release/biolife-solutions-announces-changes-to-board-of-directors-2021-07-14,"JUL 12, 2021 4:30PM EDT"
AXSM,https://www.nasdaq.com/press-release/axsome-therapeutics-announces-planned-nda-submission-for-axs-14-for-the-management-of,"MAY 12, 2021 6:26PM EDT"
AYLA,https://www.nasdaq.com/press-release/ayala-pharmaceuticals-to-present-at-ladenburg-thalmann-healthcare-conference-2021-07,"JUN 23, 2021 8:00AM EDT"
AYTU,https://www.nasdaq.com/press-release/aytu-biopharma-announces-peer-reviewed-publication-of-clinical-results-from,"MAY 14, 2021 8:30AM EDT"
AZN,https://www.nasdaq.com/press-release/hutchmed-announces-first-commercial-sale-of-orpathysr-in-china-triggering-a-us%2425,"JUN 15, 2021 9:21AM EDT"
AZRX,https://www.nasdaq.com/press-release/azurrx-biopharma-ceo-james-sapirstein-to-present-at-2021-bio-digital-2021-06-08,"JUL 10, 2021 10:00AM EDT"
AZYO,https://www.nasdaq.com/press-release/aziyo-biologics-comments-on-june-2nd-voluntary-recall-of-one-lot-of-its-fibercel,"JUL 13, 2021 6:59AM EDT"
BASI,,"MAY 6, 2021 8:00AM EDT"
BAX,https://www.nasdaq.com/press-release/baxter-declares-quarterly-dividend-2021-07-12,"JUN 17, 2021 4:01PM EDT"
BBI,https://www.nasdaq.com/press-release/brickell-biotech-to-participate-at-william-blairs-biotech-focus-conference-2021-2021,"MAY 19, 2021 5:00PM EDT"
BBIO,https://www.nasdaq.com/press-release/bridgebio-pharma-reports-inducement-grants-under-nasdaq-listing-rule-5635c4-2021-07,"JUL 12, 2021 6:50AM EDT"
BCAB,https://www.nasdaq.com/press-release/bioatla-announces-first-quarter-2021-financial-results-and-provides-business-update,"DEC 2, 2020 7:00AM EST"
BCDA,https://www.nasdaq.com/press-release/biocardia-announces-fourth-positive-dsmb-review-and-recommendation-to-continue-phase,"JUL 8, 2021 6:30AM EDT"
BCDAW,,"FEB 2, 2021 6:50PM EST"
BCEL,https://www.nasdaq.com/press-release/atreca-to-present-at-upcoming-virtual-investor-conferences-2021-05-14,"JUL 6, 2021 5:59PM EDT"
BCLI,https://www.nasdaq.com/press-release/brainstorm-announces-expansion-of-nurownr-ip-portfolio-with-grant-and-allowance-of,"JUL 9, 2021 12:00AM EDT"
BCRX,https://www.nasdaq.com/press-release/biocryst-reports-96-week-data-from-apex-2-showing-orladeyorberotralstat-reduced-hae,"JUL 12, 2021 6:59AM EDT"
BCYC,https://www.nasdaq.com/press-release/bicycle-therapeutics-enters-exclusive-license-and-collaboration-agreement-with-ionis,"JUL 7, 2021 7:00AM EDT"
BDSI,https://www.nasdaq.com/press-release/biodelivery-sciences-reports-first-quarter-2021-results-2021-05-06,"JUL 12, 2021 7:00PM EDT"
BDSX,https://www.nasdaq.com/press-release/biodesix-announces-presentation-on-novel-proteomic-techniques-in-partnership-with,"JUL 6, 2021 8:27AM EDT"
BDTX,https://www.nasdaq.com/press-release/black-diamond-therapeutics-presents-phase-1-pharmacokinetic-safety-and-preliminary,"JUN 3, 2021 9:00AM EDT"
BDX,https://www.nasdaq.com/press-release/bd-announces-two-future-directors-for-diabetes-care-spinoff-company-2021-07-12,"JUN 29, 2021 8:00AM EDT"
BDXB,https://www.nasdaq.com/press-release/bd-to-invest-%241.2-billion-in-pre-fillable-syringe-manufacturing-capacity-over-next-0,"JUL 9, 2021 7:00AM EDT"
BEAM,https://www.nasdaq.com/press-release/beam-therapeutics-to-participate-in-the-2021-william-blair-biotech-focus-conference,"JUN 28, 2021 7:30AM EDT"
BEAT,https://www.nasdaq.com/press-release/investors-bancorp-set-to-join-sp-smallcap-600-2021-02-02,"JUL 14, 2021 8:00AM EDT"
BFRA,https://www.nasdaq.com/press-release/biofrontera-inc.-seeks-ipo-in-the-usa-2021-07-06,"MAY 27, 2021 8:30AM EDT"
BGNE,https://www.nasdaq.com/press-release/beigene-announces-the-approval-in-china-of-kyprolisr-carfilzomib-for-injection-for,"MAY 26, 2021 7:00AM EDT"
BHC,https://www.nasdaq.com/press-release/bausch-lomb-launches-biotruer-hydration-boost-lubricant-eye-drops-and-biotruer,"MAY 25, 2021 7:00AM EDT"
BHVN,https://www.nasdaq.com/press-release/biohaven-announces-preliminary-2q2021-net-product-revenue-for-nurtec-odt-the-first,"JUL 9, 2021 7:30AM EDT"
BIIB,https://www.nasdaq.com/press-release/biogen-and-innocare-announce-license-and-collaboration-agreement-for-orelabrutinib-an,"JUL 8, 2021 11:20AM EDT"
BIOC,https://www.nasdaq.com/press-release/biocept-receives-south-korean-patent-for-primer-switch-platform-used-to-identify-rare,"JUL 14, 2021 8:30AM EDT"
BIOL,https://www.nasdaq.com/press-release/recent-studies-demonstrate-biolases-waterlase-laser-technology-is-beneficial-for,"JUN 29, 2021 7:06AM EDT"
BIVI,https://www.nasdaq.com/press-release/development-of-biovies-ne3107-asset-featured-by-the-american-diabetes-association,"MAY 25, 2021 12:19AM EDT"
BKD,https://www.nasdaq.com/press-release/brookdale-reports-june-2021-occupancy-2021-07-09,"APR 27, 2021 9:55PM EDT"
BLCM,https://www.nasdaq.com/press-release/bellicum-enters-license-agreement-with-unc-lineberger-and-mass-general-for-use-of,"JUN 18, 2021 5:00AM EDT"
BLFS,https://www.nasdaq.com/press-release/biolife-solutions-announces-changes-to-board-of-directors-2021-07-14,"JUN 4, 2021 9:00AM EDT"
